acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists
0.00506,https://api.spotify.com/v1/audio-analysis/4RS3Y3YWoZVNTUKGbjwU5A,0.685,210373,0.732,4RS3Y3YWoZVNTUKGbjwU5A,0.778,9,0.064,-8.589,0,0.0322,127.999,4,https://api.spotify.com/v1/tracks/4RS3Y3YWoZVNTUKGbjwU5A,audio_features,spotify:track:4RS3Y3YWoZVNTUKGbjwU5A,0.856,2019-09-04T23:21:28Z,Forasteiro,BaianaSystem
0.171,https://api.spotify.com/v1/audio-analysis/5CGpPUcUahMuLzkNK9ZgPP,0.24,334000,0.615,5CGpPUcUahMuLzkNK9ZgPP,0.0125,2,0.0801,-14.117,1,0.0677,166.657,4,https://api.spotify.com/v1/tracks/5CGpPUcUahMuLzkNK9ZgPP,audio_features,spotify:track:5CGpPUcUahMuLzkNK9ZgPP,0.768,2019-08-29T13:06:21Z,Dear Mr. Fantasy,Traffic
0.0141,https://api.spotify.com/v1/audio-analysis/6yOIxnDaEvV6DqUPRl4a1f,0.0909,523187,0.969,6yOIxnDaEvV6DqUPRl4a1f,0.54,9,0.127,-4.119,0,0.0975,175.36,4,https://api.spotify.com/v1/tracks/6yOIxnDaEvV6DqUPRl4a1f,audio_features,spotify:track:6yOIxnDaEvV6DqUPRl4a1f,0.149,2019-08-22T20:47:16Z,I Don't Wanna Go There,Dinosaur Jr.
0.0888,https://api.spotify.com/v1/audio-analysis/65O6zPSisPj2AvAjaY4Bfg,0.582,251630,0.755,65O6zPSisPj2AvAjaY4Bfg,0.648,10,0.0933,-7.037,1,0.0382,135.007,4,https://api.spotify.com/v1/tracks/65O6zPSisPj2AvAjaY4Bfg,audio_features,spotify:track:65O6zPSisPj2AvAjaY4Bfg,0.438,2019-08-22T20:11:50Z,Healthy Moon,DIIV
0.00442,https://api.spotify.com/v1/audio-analysis/1Uqv00LUu1Tcc88ODusHbH,0.628,240200,0.705,1Uqv00LUu1Tcc88ODusHbH,0.0,11,0.163,-7.389,0,0.0513,105.107,4,https://api.spotify.com/v1/tracks/1Uqv00LUu1Tcc88ODusHbH,audio_features,spotify:track:1Uqv00LUu1Tcc88ODusHbH,0.428,2019-08-18T22:05:59Z,Homem Pássaro,Hyldon
0.325,https://api.spotify.com/v1/audio-analysis/2Sr2LZfjcOpzfzFHHR8vQu,0.725,195040,0.618,2Sr2LZfjcOpzfzFHHR8vQu,0.000133,9,0.384,-9.842,0,0.046,112.681,5,https://api.spotify.com/v1/tracks/2Sr2LZfjcOpzfzFHHR8vQu,audio_features,spotify:track:2Sr2LZfjcOpzfzFHHR8vQu,0.479,2019-08-14T18:13:22Z,Invisível,BaianaSystem
0.101,https://api.spotify.com/v1/audio-analysis/4CWUGKyUi4aJOq7tF6HAIF,0.658,254227,0.764,4CWUGKyUi4aJOq7tF6HAIF,0.004,10,0.134,-8.646,0,0.0449,107.433,4,https://api.spotify.com/v1/tracks/4CWUGKyUi4aJOq7tF6HAIF,audio_features,spotify:track:4CWUGKyUi4aJOq7tF6HAIF,0.83,2019-08-02T18:20:18Z,Street Life,Randy Crawford
2.8e-05,https://api.spotify.com/v1/audio-analysis/75IwIjVg082ugRBoEnC0Bt,0.247,385867,0.984,75IwIjVg082ugRBoEnC0Bt,0.631,4,0.379,-3.326,1,0.149,99.379,4,https://api.spotify.com/v1/tracks/75IwIjVg082ugRBoEnC0Bt,audio_features,spotify:track:75IwIjVg082ugRBoEnC0Bt,0.0383,2019-08-01T18:34:02Z,"I Am The Walrus - Live Glasgow Cathouse, June '94",Oasis
0.825,https://api.spotify.com/v1/audio-analysis/7cKLOenzViwzoHJWciMIrj,0.722,196507,0.605,7cKLOenzViwzoHJWciMIrj,0.0178,5,0.248,-6.07,1,0.153,165.998,4,https://api.spotify.com/v1/tracks/7cKLOenzViwzoHJWciMIrj,audio_features,spotify:track:7cKLOenzViwzoHJWciMIrj,0.709,2019-07-31T03:08:52Z,Bam Bam,Sister Nancy
0.0205,https://api.spotify.com/v1/audio-analysis/13fqgGYSmR7yaAdgaGKdLV,0.614,346907,0.604,13fqgGYSmR7yaAdgaGKdLV,0.0317,3,0.0481,-10.261,1,0.0283,107.708,4,https://api.spotify.com/v1/tracks/13fqgGYSmR7yaAdgaGKdLV,audio_features,spotify:track:13fqgGYSmR7yaAdgaGKdLV,0.604,2019-07-22T16:47:58Z,忘れちゃうひととき,Fishmans
